COD LOCAL,NOMBRELOCAL,FECHA,VENTANETA
"72163,FR_JARDIN DE NAYON,2024-02-06 ,""590,695365"""
"72163,FR_JARDIN DE NAYON,2024-02-07 ,""696,119858"""
"72165,FR_LIZARZABURO,2024-02-01 ,""869,510341"""
"72165,FR_LIZARZABURO,2024-02-02 ,""558,151311"""
"72165,FR_LIZARZABURO,2024-02-03 ,""371,944941"""
"72165,FR_LIZARZABURO,2024-02-04 ,""399,542414"""
"72165,FR_LIZARZABURO,2024-02-05 ,""876,616874"""
"72165,FR_LIZARZABURO,2024-02-06 ,""522,640427"""
"72165,FR_LIZARZABURO,2024-02-07 ,""650,204096"""
"72166,FR_IZAMBA,2024-02-01 ,""1387,721261"""
"72166,FR_IZAMBA,2024-02-02 ,""1152,102962"""
"72166,FR_IZAMBA,2024-02-03 ,""864,631784"""
"72166,FR_IZAMBA,2024-02-04 ,""848,43059"""
"72166,FR_IZAMBA,2024-02-05 ,""1163,53836"""
"72166,FR_IZAMBA,2024-02-06 ,""995,774988"""
"72166,FR_IZAMBA,2024-02-07 ,""866,442831"""
"72172,FR_SAN JACINTO,2024-02-01 ,""717,438253"""
"72172,FR_SAN JACINTO,2024-02-02 ,""282,909883"""
"72172,FR_SAN JACINTO,2024-02-03 ,""431,488854"""
"72172,FR_SAN JACINTO,2024-02-04 ,""416,270061"""
"72172,FR_SAN JACINTO,2024-02-05 ,""671,599426"""
"72172,FR_SAN JACINTO,2024-02-06 ,""372,362045"""
"72172,FR_SAN JACINTO,2024-02-07 ,""390,119244"""
"72180,FR_HEROES DE PAQUISHA,2024-02-01 ,""803,420985"""
"72180,FR_HEROES DE PAQUISHA,2024-02-02 ,""365,410563"""
"72180,FR_HEROES DE PAQUISHA,2024-02-03 ,""227,435223"""
"72180,FR_HEROES DE PAQUISHA,2024-02-04 ,""184,081468"""
"72180,FR_HEROES DE PAQUISHA,2024-02-05 ,""1041,924281"""
"72180,FR_HEROES DE PAQUISHA,2024-02-06 ,""666,179184"""
"72180,FR_HEROES DE PAQUISHA,2024-02-07 ,""325,368094"""
"72185,FR_CAUPICHO 2,2024-02-01 ,""949,370378"""
"72185,FR_CAUPICHO 2,2024-02-02 ,""585,983875"""
"72185,FR_CAUPICHO 2,2024-02-03 ,""510,49068"""
"72185,FR_CAUPICHO 2,2024-02-04 ,""592,674131"""
"72185,FR_CAUPICHO 2,2024-02-05 ,""912,767786"""
"72185,FR_CAUPICHO 2,2024-02-06 ,""576,99093"""
"72185,FR_CAUPICHO 2,2024-02-07 ,""822,360061"""
"72186,FR_UNIDAD POPULAR,2024-02-01 ,""1378,612065"""
"72186,FR_UNIDAD POPULAR,2024-02-02 ,""997,209042"""
"72186,FR_UNIDAD POPULAR,2024-02-03 ,""1014,246684"""
"72186,FR_UNIDAD POPULAR,2024-02-04 ,""645,85264"""
"72186,FR_UNIDAD POPULAR,2024-02-05 ,""1533,73087"""
"72186,FR_UNIDAD POPULAR,2024-02-06 ,""1226,93174"""
"72186,FR_UNIDAD POPULAR,2024-02-07 ,""1209,770171"""
"72191,FR_AJAVI 2,2024-02-01 ,""1305,512384"""
"72191,FR_AJAVI 2,2024-02-02 ,""744,934988"""
"72191,FR_AJAVI 2,2024-02-03 ,""509,41469"""
"72191,FR_AJAVI 2,2024-02-04 ,""358,66748"""
"72191,FR_AJAVI 2,2024-02-05 ,""1030,746465"""
"72191,FR_AJAVI 2,2024-02-06 ,""574,319255"""
"72191,FR_AJAVI 2,2024-02-07 ,""674,688652"""
"72198,FR_PLATAFORMA QUITUMBE,2024-02-01 ,""991,918349"""
"72198,FR_PLATAFORMA QUITUMBE,2024-02-02 ,""272,782369"""
"72198,FR_PLATAFORMA QUITUMBE,2024-02-03 ,""274,426053"""
"72198,FR_PLATAFORMA QUITUMBE,2024-02-05 ,""853,61065"""
"72198,FR_PLATAFORMA QUITUMBE,2024-02-06 ,""580,977664"""
"72198,FR_PLATAFORMA QUITUMBE,2024-02-07 ,""545,490572"""
"72199,FR_AGUSTIN DAVALOS,2024-02-01 ,""525,385237"""
"72199,FR_AGUSTIN DAVALOS,2024-02-02 ,""488,256585"""
"72199,FR_AGUSTIN DAVALOS,2024-02-03 ,""325,666724"""
"72199,FR_AGUSTIN DAVALOS,2024-02-04 ,""335,006965"""
"72199,FR_AGUSTIN DAVALOS,2024-02-05 ,""487,353774"""
"72199,FR_AGUSTIN DAVALOS,2024-02-06 ,""688,386391"""
"72199,FR_AGUSTIN DAVALOS,2024-02-07 ,""429,103856"""
"72200,FR_FEDERICO GODIN,2024-02-01 ,""763,599369"""
"72200,FR_FEDERICO GODIN,2024-02-02 ,""227,302192"""
"72200,FR_FEDERICO GODIN,2024-02-03 ,""211,58753"""
"72200,FR_FEDERICO GODIN,2024-02-05 ,""476,337409"""
"72200,FR_FEDERICO GODIN,2024-02-06 ,""180,652305"""
"72200,FR_FEDERICO GODIN,2024-02-07 ,""462,969755"""
"72202,FR_CRISTO REY,2024-02-01 ,""608,095691"""
"72202,FR_CRISTO REY,2024-02-02 ,""345,580177"""
"72202,FR_CRISTO REY,2024-02-03 ,""226,600135"""
"72202,FR_CRISTO REY,2024-02-04 ,""174,337237"""
"72202,FR_CRISTO REY,2024-02-05 ,""1151,175095"""
"72202,FR_CRISTO REY,2024-02-06 ,""339,933871"""
"72202,FR_CRISTO REY,2024-02-07 ,""412,663271"""
"72210,FR_CUBA 2,2024-02-01 ,""356,02912"""
"72210,FR_CUBA 2,2024-02-02 ,""164,009671"""
"72210,FR_CUBA 2,2024-02-03 ,""2079,420457"""
"72210,FR_CUBA 2,2024-02-04 ,""267,053861"""
"72210,FR_CUBA 2,2024-02-05 ,""365,591343"""
"72210,FR_CUBA 2,2024-02-06 ,""237,562306"""
"72210,FR_CUBA 2,2024-02-07 ,""219,962245"""
"72211,FR_FABRICIO GONZALEZ,2024-02-01 ,""162,426077"""
"72211,FR_FABRICIO GONZALEZ,2024-02-02 ,""182,312251"""
"72211,FR_FABRICIO GONZALEZ,2024-02-03 ,""183,493614"""
"72211,FR_FABRICIO GONZALEZ,2024-02-05 ,""268,019115"""
"72211,FR_FABRICIO GONZALEZ,2024-02-06 ,""199,130418"""
"72211,FR_FABRICIO GONZALEZ,2024-02-07 ,""206,787899"""
"72213,FR_CHILLANES,2024-02-01 ,""341,194457"""
"72213,FR_CHILLANES,2024-02-02 ,""231,526733"""
"72213,FR_CHILLANES,2024-02-03 ,""182,062767"""
"72213,FR_CHILLANES,2024-02-04 ,""374,430761"""
"72213,FR_CHILLANES,2024-02-05 ,""290,716875"""
"72213,FR_CHILLANES,2024-02-06 ,""327,644149"""
"72213,FR_CHILLANES,2024-02-07 ,""335,284356"""
"72214,FR_ANDRES BELLO,2024-02-01 ,""305,470266"""
"72214,FR_ANDRES BELLO,2024-02-02 ,""294,358422"""
"72214,FR_ANDRES BELLO,2024-02-03 ,""320,392492"""
"72214,FR_ANDRES BELLO,2024-02-04 ,""399,893106"""
"72214,FR_ANDRES BELLO,2024-02-05 ,""371,148558"""
"72214,FR_ANDRES BELLO,2024-02-06 ,""615,749288"""
"72214,FR_ANDRES BELLO,2024-02-07 ,""448,15753"""
"72215,FR_LOS ESTEROS,2024-02-01 ,""485,3561"""
"72215,FR_LOS ESTEROS,2024-02-02 ,""389,008348"""
"72215,FR_LOS ESTEROS,2024-02-03 ,""390,84182"""
"72215,FR_LOS ESTEROS,2024-02-04 ,""273,178212"""
"72215,FR_LOS ESTEROS,2024-02-05 ,""682,712391"""
"72215,FR_LOS ESTEROS,2024-02-06 ,""280,71237"""
"72215,FR_LOS ESTEROS,2024-02-07 ,""437,99963"""
"72216,FR_SAUCES 2,2024-02-01 ,""867,244496"""
"72216,FR_SAUCES 2,2024-02-02 ,""475,171477"""
"72216,FR_SAUCES 2,2024-02-03 ,""556,795417"""
"72216,FR_SAUCES 2,2024-02-04 ,""594,366834"""
"72216,FR_SAUCES 2,2024-02-05 ,""878,726323"""
"72216,FR_SAUCES 2,2024-02-06 ,""585,424411"""
"72216,FR_SAUCES 2,2024-02-07 ,""520,069093"""
"72218,FR_ HOSPITAL SAN JUAN,2024-02-01 ,""1052,574173"""
"72218,FR_ HOSPITAL SAN JUAN,2024-02-02 ,""617,179056"""
"72218,FR_ HOSPITAL SAN JUAN,2024-02-03 ,""596,425488"""
"72218,FR_ HOSPITAL SAN JUAN,2024-02-04 ,""401,901018"""
"72218,FR_ HOSPITAL SAN JUAN,2024-02-05 ,""1610,808849"""
"72218,FR_ HOSPITAL SAN JUAN,2024-02-06 ,""600,411163"""
"72218,FR_ HOSPITAL SAN JUAN,2024-02-07 ,""532,98733"""
"72222,FR_LA PRENSA,2024-02-01 ,""803,948122"""
"72222,FR_LA PRENSA,2024-02-02 ,""547,397089"""
"72222,FR_LA PRENSA,2024-02-03 ,""420,433284"""
"72222,FR_LA PRENSA,2024-02-04 ,""506,920466"""
"72222,FR_LA PRENSA,2024-02-05 ,""767,009344"""
"72222,FR_LA PRENSA,2024-02-06 ,""731,686929"""
"72222,FR_LA PRENSA,2024-02-07 ,""466,136278"""
"72223,FR_COLIBRI,2024-02-01 ,""995,68955"""
"72223,FR_COLIBRI,2024-02-02 ,""671,922586"""
"72223,FR_COLIBRI,2024-02-03 ,""415,916488"""
"72223,FR_COLIBRI,2024-02-04 ,""323,620982"""
"72223,FR_COLIBRI,2024-02-05 ,""1248,635997"""
"72223,FR_COLIBRI,2024-02-06 ,""734,866561"""
"72223,FR_COLIBRI,2024-02-07 ,""973,062851"""
"72225,FR_CHILLO JIJON,2024-02-01 ,""561,606634"""
"72225,FR_CHILLO JIJON,2024-02-02 ,""421,426609"""
"72225,FR_CHILLO JIJON,2024-02-03 ,""382,233059"""
"72225,FR_CHILLO JIJON,2024-02-04 ,""374,431211"""
"72225,FR_CHILLO JIJON,2024-02-05 ,""872,018467"""
"72225,FR_CHILLO JIJON,2024-02-06 ,""384,086924"""
"72225,FR_CHILLO JIJON,2024-02-07 ,""702,923136"""
"72228,FR_DANIEL BORJA,2024-02-01 ,""1281,639968"""
"72228,FR_DANIEL BORJA,2024-02-02 ,""423,857255"""
"72228,FR_DANIEL BORJA,2024-02-03 ,""257,969427"""
"72228,FR_DANIEL BORJA,2024-02-04 ,""380,777175"""
"72228,FR_DANIEL BORJA,2024-02-05 ,""1266,580349"""
"72228,FR_DANIEL BORJA,2024-02-06 ,""312,34443"""
"72228,FR_DANIEL BORJA,2024-02-07 ,""770,992003"""
"72229,FR_COJIMIES,2024-02-01 ,""1248,295866"""
"72229,FR_COJIMIES,2024-02-02 ,""434,729187"""
"72229,FR_COJIMIES,2024-02-03 ,""726,902844"""
"72229,FR_COJIMIES,2024-02-04 ,""708,783362"""
"72229,FR_COJIMIES,2024-02-05 ,""1079,716644"""
"72229,FR_COJIMIES,2024-02-06 ,""626,425694"""
"72229,FR_COJIMIES,2024-02-07 ,""415,894861"""
"72231,FR_EL ENCANTO 3,2024-02-01 ,""85,510646"""
"72231,FR_EL ENCANTO 3,2024-02-02 ,""83,261061"""
"72231,FR_EL ENCANTO 3,2024-02-03 ,""123,583425"""
"72231,FR_EL ENCANTO 3,2024-02-04 ,""277,564038"""
"72231,FR_EL ENCANTO 3,2024-02-05 ,""125,44208"""
"72231,FR_EL ENCANTO 3,2024-02-06 ,""140,495561"""
"72231,FR_EL ENCANTO 3,2024-02-07 ,""57,018225"""
"72235,FR_MANUEL ITURRALDE,2024-02-01 ,""571,30655"""
"72235,FR_MANUEL ITURRALDE,2024-02-02 ,""244,959516"""
"72235,FR_MANUEL ITURRALDE,2024-02-03 ,""474,435409"""
"72235,FR_MANUEL ITURRALDE,2024-02-04 ,""215,002816"""
"72235,FR_MANUEL ITURRALDE,2024-02-05 ,""493,111069"""
"72235,FR_MANUEL ITURRALDE,2024-02-06 ,""439,593186"""
"72235,FR_MANUEL ITURRALDE,2024-02-07 ,""557,014966"""
"72238,FR_HOSPITAL IESS MANTA,2024-02-01 ,""573,630923"""
"72238,FR_HOSPITAL IESS MANTA,2024-02-02 ,""569,903726"""
"72238,FR_HOSPITAL IESS MANTA,2024-02-03 ,""443,628217"""
"72238,FR_HOSPITAL IESS MANTA,2024-02-04 ,""570,406844"""
"72238,FR_HOSPITAL IESS MANTA,2024-02-05 ,""599,102124"""
"72238,FR_HOSPITAL IESS MANTA,2024-02-06 ,""440,165879"""
"72238,FR_HOSPITAL IESS MANTA,2024-02-07 ,""462,980537"""
"72239,FR_ZABALA,2024-02-01 ,""541,620617"""
"72239,FR_ZABALA,2024-02-02 ,""253,854515"""
"72239,FR_ZABALA,2024-02-03 ,""391,936782"""
"72239,FR_ZABALA,2024-02-04 ,""270,625336"""
"72239,FR_ZABALA,2024-02-05 ,""589,055735"""
"72239,FR_ZABALA,2024-02-06 ,""444,716558"""
"72239,FR_ZABALA,2024-02-07 ,""336,887039"""
"72245,FR_EL INGA,2024-02-01 ,""1765,519617"""
"72245,FR_EL INGA,2024-02-02 ,""1082,390514"""
"72245,FR_EL INGA,2024-02-03 ,""1036,981802"""
"72245,FR_EL INGA,2024-02-04 ,""1046,513235"""
"72245,FR_EL INGA,2024-02-05 ,""1525,777299"""
"72245,FR_EL INGA,2024-02-06 ,""1208,939232"""
"72245,FR_EL INGA,2024-02-07 ,""1438,512358"""
"72246,FR_ISLA MARCHENA,2024-02-01 ,""1566,565773"""
"72246,FR_ISLA MARCHENA,2024-02-02 ,""660,674721"""
"72246,FR_ISLA MARCHENA,2024-02-03 ,""628,91546"""
"72246,FR_ISLA MARCHENA,2024-02-04 ,""709,235967"""
"72246,FR_ISLA MARCHENA,2024-02-05 ,""1238,234717"""
"72246,FR_ISLA MARCHENA,2024-02-06 ,""910,243899"""
"72246,FR_ISLA MARCHENA,2024-02-07 ,""578,128969"""
"72249,FR_ANGEL MENESES,2024-02-01 ,""435,544957"""
"72249,FR_ANGEL MENESES,2024-02-02 ,""244,656332"""
"72249,FR_ANGEL MENESES,2024-02-03 ,""273,404693"""
"72249,FR_ANGEL MENESES,2024-02-04 ,""200,068205"""
"72249,FR_ANGEL MENESES,2024-02-05 ,""765,29108"""
"72249,FR_ANGEL MENESES,2024-02-06 ,""557,236165"""
"72249,FR_ANGEL MENESES,2024-02-07 ,""597,44111"""
"72250,CERRADO FR_MARSELLA,2024-02-01 ,""260,093598"""
"72250,CERRADO FR_MARSELLA,2024-02-02 ,""830,867972"""
"72254,FR_CLINICA METROPOLITANA,2024-02-01 ,""549,555192"""
"72254,FR_CLINICA METROPOLITANA,2024-02-02 ,""481,320618"""
"72254,FR_CLINICA METROPOLITANA,2024-02-03 ,""423,848488"""
"72254,FR_CLINICA METROPOLITANA,2024-02-04 ,""247,849108"""
"72254,FR_CLINICA METROPOLITANA,2024-02-05 ,""1084,946331"""
"72254,FR_CLINICA METROPOLITANA,2024-02-06 ,""401,715499"""
"72254,FR_CLINICA METROPOLITANA,2024-02-07 ,""562,09575"""
"72255,FR_PALORA,2024-02-01 ,""886,773617"""
"72255,FR_PALORA,2024-02-02 ,""698,704295"""
"72255,FR_PALORA,2024-02-03 ,""567,6747"""
"72255,FR_PALORA,2024-02-04 ,""675,932802"""
"72255,FR_PALORA,2024-02-05 ,""652,668989"""
"72255,FR_PALORA,2024-02-06 ,""479,462683"""
"72255,FR_PALORA,2024-02-07 ,""520,361954"""
"72256,FR_SAN MARTIN,2024-02-01 ,""833,773461"""
"72256,FR_SAN MARTIN,2024-02-02 ,""519,016174"""
"72256,FR_SAN MARTIN,2024-02-03 ,""832,320269"""
"72256,FR_SAN MARTIN,2024-02-04 ,""351,393285"""
"72256,FR_SAN MARTIN,2024-02-05 ,""870,050487"""
"72256,FR_SAN MARTIN,2024-02-06 ,""420,348325"""
"72256,FR_SAN MARTIN,2024-02-07 ,""925,959214"""
"72258,FR_LAS BROMELIAS,2024-02-01 ,""752,842412"""
"72258,FR_LAS BROMELIAS,2024-02-02 ,""755,187841"""
"72258,FR_LAS BROMELIAS,2024-02-03 ,""603,948748"""
"72258,FR_LAS BROMELIAS,2024-02-04 ,""425,012045"""
"72258,FR_LAS BROMELIAS,2024-02-05 ,""738,723016"""
"72258,FR_LAS BROMELIAS,2024-02-06 ,""670,509398"""
"72258,FR_LAS BROMELIAS,2024-02-07 ,""504,44621"""
"72260,FR_SHELL 2,2024-02-01 ,""759,546296"""
"72260,FR_SHELL 2,2024-02-02 ,""561,593821"""
"72260,FR_SHELL 2,2024-02-03 ,""472,295354"""
"72260,FR_SHELL 2,2024-02-04 ,""447,644137"""
"72260,FR_SHELL 2,2024-02-05 ,""476,846033"""
"72260,FR_SHELL 2,2024-02-06 ,""384,341795"""
"72260,FR_SHELL 2,2024-02-07 ,""530,384668"""
"72261,FR_ARCHIDONA,2024-02-01 ,""350,696293"""
"72261,FR_ARCHIDONA,2024-02-02 ,""518,152194"""
"72261,FR_ARCHIDONA,2024-02-03 ,""512,570806"""
"72261,FR_ARCHIDONA,2024-02-04 ,""516,538566"""
"72261,FR_ARCHIDONA,2024-02-05 ,""464,517826"""
"72261,FR_ARCHIDONA,2024-02-06 ,""454,505612"""
"72261,FR_ARCHIDONA,2024-02-07 ,""536,349468"""
"72267,FR_MANUEL SALCEDO 2,2024-02-01 ,""835,094647"""
"72267,FR_MANUEL SALCEDO 2,2024-02-02 ,""416,093829"""
"72267,FR_MANUEL SALCEDO 2,2024-02-03 ,""433,731946"""
"72267,FR_MANUEL SALCEDO 2,2024-02-04 ,""704,362407"""
"72267,FR_MANUEL SALCEDO 2,2024-02-05 ,""635,267453"""
"72267,FR_MANUEL SALCEDO 2,2024-02-06 ,""507,394146"""
"72267,FR_MANUEL SALCEDO 2,2024-02-07 ,""417,976104"""
"72268,FR_ALAMOS 2,2024-02-01 ,""963,776338"""
"72268,FR_ALAMOS 2,2024-02-02 ,""572,673416"""
"72268,FR_ALAMOS 2,2024-02-03 ,""593,616282"""
"72268,FR_ALAMOS 2,2024-02-04 ,""237,596429"""
"72268,FR_ALAMOS 2,2024-02-05 ,""1405,170368"""
"72268,FR_ALAMOS 2,2024-02-06 ,""468,737436"""
"72268,FR_ALAMOS 2,2024-02-07 ,""411,710172"""
"72270,FR_SAN PATRICIO,2024-02-01 ,""315,451929"""
"72270,FR_SAN PATRICIO,2024-02-02 ,""132,619602"""
"72270,FR_SAN PATRICIO,2024-02-03 ,""110,588227"""
"72270,FR_SAN PATRICIO,2024-02-04 ,""132,054317"""
"72270,FR_SAN PATRICIO,2024-02-05 ,""353,874863"""
"72270,FR_SAN PATRICIO,2024-02-06 ,""361,407269"""
"72270,FR_SAN PATRICIO,2024-02-07 ,""197,549477"""
"72271,FR_COLLALOMA,2024-02-01 ,""660,991634"""
"72271,FR_COLLALOMA,2024-02-02 ,""539,663534"""
"72271,FR_COLLALOMA,2024-02-03 ,""448,376123"""
"72271,FR_COLLALOMA,2024-02-04 ,""310,18001"""
"72271,FR_COLLALOMA,2024-02-05 ,""686,878558"""
"72271,FR_COLLALOMA,2024-02-06 ,""315,831212"""
"72271,FR_COLLALOMA,2024-02-07 ,""225,647993"""
"72272,FR_VILLA VEGA,2024-02-01 ,""2408,750918"""
"72272,FR_VILLA VEGA,2024-02-02 ,""532,646908"""
"72272,FR_VILLA VEGA,2024-02-03 ,""657,701904"""
"72272,FR_VILLA VEGA,2024-02-04 ,""454,672214"""
"72272,FR_VILLA VEGA,2024-02-05 ,""912,822961"""
"72272,FR_VILLA VEGA,2024-02-06 ,""541,059743"""
"72272,FR_VILLA VEGA,2024-02-07 ,""517,238481"""
"72273,FR_TONSUPA,2024-02-01 ,""623,303933"""
"72273,FR_TONSUPA,2024-02-02 ,""446,99449"""
"72273,FR_TONSUPA,2024-02-03 ,""518,842283"""
"72273,FR_TONSUPA,2024-02-04 ,""365,227245"""
"72273,FR_TONSUPA,2024-02-05 ,""856,141649"""
"72273,FR_TONSUPA,2024-02-06 ,""485,479884"""
"72273,FR_TONSUPA,2024-02-07 ,""461,761262"""
"72279,FR_LA ESPE,2024-02-01 ,""1164,95205"""
"72279,FR_LA ESPE,2024-02-02 ,""634,334565"""
"72279,FR_LA ESPE,2024-02-03 ,""184,864788"""
"72279,FR_LA ESPE,2024-02-05 ,""910,580148"""
"72279,FR_LA ESPE,2024-02-06 ,""592,151991"""
"72279,FR_LA ESPE,2024-02-07 ,""735,822213"""
"72282,FR_CIUDADELA EJERCITO,2024-02-01 ,""1072,37469"""
"72282,FR_CIUDADELA EJERCITO,2024-02-02 ,""1255,112232"""
"72282,FR_CIUDADELA EJERCITO,2024-02-03 ,""1053,101881"""
"72282,FR_CIUDADELA EJERCITO,2024-02-04 ,""964,57313"""
"72282,FR_CIUDADELA EJERCITO,2024-02-05 ,""1489,153107"""
"72282,FR_CIUDADELA EJERCITO,2024-02-06 ,""1137,728168"""
"72282,FR_CIUDADELA EJERCITO,2024-02-07 ,""1233,957377"""
"72283,FR_9 DE MAYO,2024-02-01 ,""537,502973"""
"72283,FR_9 DE MAYO,2024-02-02 ,""312,907154"""
"72283,FR_9 DE MAYO,2024-02-03 ,""328,697122"""
"72283,FR_9 DE MAYO,2024-02-04 ,""318,669608"""
"72283,FR_9 DE MAYO,2024-02-05 ,""292,7593"""
"72283,FR_9 DE MAYO,2024-02-06 ,""312,069581"""
"72283,FR_9 DE MAYO,2024-02-07 ,""358,448275"""
"72284,FR_VIRACOCHA,2024-02-01 ,""635,981749"""
"72284,FR_VIRACOCHA,2024-02-02 ,""406,885221"""
"72284,FR_VIRACOCHA,2024-02-03 ,""441,144725"""
"72284,FR_VIRACOCHA,2024-02-04 ,""640,130335"""
"72284,FR_VIRACOCHA,2024-02-05 ,""759,769666"""
"72284,FR_VIRACOCHA,2024-02-06 ,""568,136094"""
"72284,FR_VIRACOCHA,2024-02-07 ,""755,019492"""
"72285,FR_MOISES FIERRO,2024-02-01 ,""143,243403"""
"72285,FR_MOISES FIERRO,2024-02-02 ,""209,555609"""
"72285,FR_MOISES FIERRO,2024-02-03 ,""171,243053"""
"72285,FR_MOISES FIERRO,2024-02-04 ,""175,522082"""
"72285,FR_MOISES FIERRO,2024-02-05 ,""534,319125"""
"72285,FR_MOISES FIERRO,2024-02-06 ,""417,728072"""
"72285,FR_MOISES FIERRO,2024-02-07 ,""216,723679"""
"72286,FR_LOS ENCUENTROS,2024-02-01 ,""577,433607"""
"72286,FR_LOS ENCUENTROS,2024-02-02 ,""444,180216"""
"72286,FR_LOS ENCUENTROS,2024-02-03 ,""643,554483"""
"72286,FR_LOS ENCUENTROS,2024-02-04 ,""341,195164"""
"72286,FR_LOS ENCUENTROS,2024-02-05 ,""595,684563"""
"72286,FR_LOS ENCUENTROS,2024-02-06 ,""403,252746"""
"72286,FR_LOS ENCUENTROS,2024-02-07 ,""260,319171"""
"72287,FR_INTY ÑAN,2024-02-01 ,""513,6757"""
"72287,FR_INTY ÑAN,2024-02-02 ,""322,263442"""
"72287,FR_INTY ÑAN,2024-02-03 ,""207,064398"""
"72287,FR_INTY ÑAN,2024-02-04 ,""443,679208"""
"72287,FR_INTY ÑAN,2024-02-05 ,""708,089152"""
"72287,FR_INTY ÑAN,2024-02-06 ,""292,380109"""
"72287,FR_INTY ÑAN,2024-02-07 ,""192,112702"""
"72289,FR_CONSTITUYENTE,2024-02-01 ,""883,490779"""
"72289,FR_CONSTITUYENTE,2024-02-02 ,""546,053798"""
"72289,FR_CONSTITUYENTE,2024-02-03 ,""431,644566"""
"72289,FR_CONSTITUYENTE,2024-02-04 ,""150,862806"""
"72289,FR_CONSTITUYENTE,2024-02-05 ,""1113,384423"""
"72289,FR_CONSTITUYENTE,2024-02-06 ,""410,949008"""
"72289,FR_CONSTITUYENTE,2024-02-07 ,""328,65332"""
"72291,FR_MARCOS ESCORZA,2024-02-01 ,""596,121589"""
"72291,FR_MARCOS ESCORZA,2024-02-02 ,""527,82609"""
"72291,FR_MARCOS ESCORZA,2024-02-03 ,""580,252022"""
"72291,FR_MARCOS ESCORZA,2024-02-04 ,""364,394011"""
"72291,FR_MARCOS ESCORZA,2024-02-05 ,""672,162845"""
"72291,FR_MARCOS ESCORZA,2024-02-06 ,""713,169942"""
"72291,FR_MARCOS ESCORZA,2024-02-07 ,""736,465989"""
"72293,FR_LA CAMPIÑA,2024-02-01 ,""1249,090636"""
"72293,FR_LA CAMPIÑA,2024-02-02 ,""338,852361"""
"72293,FR_LA CAMPIÑA,2024-02-03 ,""321,642814"""
"72293,FR_LA CAMPIÑA,2024-02-04 ,""105,603907"""
"72293,FR_LA CAMPIÑA,2024-02-05 ,""1064,332249"""
"72293,FR_LA CAMPIÑA,2024-02-06 ,""238,429855"""
